"symbol","date","adjusted","total_volume","return"
"VOO","2023-01-31",361.5,76686800,6.29
"VOO","2023-02-28",352.47,70620000,-2.5
"VOO","2023-03-31",365.55,98871600,3.71
"VOO","2023-04-28",371.36,59258500,1.59
"VOO","2023-05-31",373.15,74581000,0.48
"VOO","2023-06-30",397.44,87009900,6.51
"VOO","2023-07-31",410.52,75235500,3.29
"VOO","2023-08-31",403.83,87472600,-1.63
"VOO","2023-09-29",384.68,85361800,-4.74
"VOO","2023-10-31",376.32,112733000,-2.17
"VOO","2023-11-30",410.83,87596800,9.17
"VOO","2023-12-29",429.64,100255600,4.58
"VOO","2024-01-31",436.55,113229600,1.61
"VOO","2024-02-29",459.28,103468600,5.21
"VOO","2024-03-28",474.34,106573400,3.28
"VOO","2024-04-30",455.33,132234200,-4.01
"VOO","2024-05-31",478.21,83377400,5.02
"VOO","2024-06-28",495.27,102999000,3.57
"VOO","2024-07-31",501.01,95569400,1.16
"VOO","2024-08-30",513,113649300,2.39
"VOO","2024-09-30",524.17,160152000,2.18
"VOO","2024-10-31",519.2,97966800,-0.95
"VOO","2024-11-29",549.78,99716400,5.89
"VOO","2024-12-30",539.12,152344000,-1.94
"BND","2023-01-31",68.7,114038100,3.31
"BND","2023-02-28",66.87,100778600,-2.66
"BND","2023-03-31",68.66,114696000,2.68
"BND","2023-04-28",69.06,80593600,0.58
"BND","2023-05-31",68.26,104674200,-1.16
"BND","2023-06-30",68.11,107500100,-0.22
"BND","2023-07-31",68.03,111839000,-0.12
"BND","2023-08-31",67.58,127082600,-0.66
"BND","2023-09-29",65.9,137475900,-2.49
"BND","2023-10-31",64.9,172502600,-1.52
"BND","2023-11-30",67.85,142803400,4.55
"BND","2023-12-29",70.26,161348600,3.55
"BND","2024-01-31",70.14,156729300,-0.17
"BND","2024-02-29",69.19,150945000,-1.35
"BND","2024-03-28",69.78,162561400,0.85
"BND","2024-04-30",68.1,185916400,-2.41
"BND","2024-05-31",69.24,109056800,1.67
"BND","2024-06-28",69.85,118912600,0.88
"BND","2024-07-31",71.49,119894800,2.35
"BND","2024-08-30",72.53,115811300,1.45
"BND","2024-09-30",73.49,129910000,1.32
"BND","2024-10-31",71.68,131383700,-2.46
"BND","2024-11-29",72.45,136947000,1.07
"BND","2024-12-30",71.35,132000500,-1.52
"GSG","2023-01-31",21.21,16703100,-0.09
"GSG","2023-02-28",20.31,11902500,-4.24
"GSG","2023-03-31",20.12,14418500,-0.94
"GSG","2023-04-28",19.91,9188800,-1.04
"GSG","2023-05-31",18.67,11387500,-6.23
"GSG","2023-06-30",19.49,8214900,4.39
"GSG","2023-07-31",21.6,4129100,10.83
"GSG","2023-08-31",21.7,14870000,0.46
"GSG","2023-09-29",22.51,14750800,3.73
"GSG","2023-10-31",21.63,18625400,-3.91
"GSG","2023-11-30",20.68,18864000,-4.39
"GSG","2023-12-29",20.06,23006400,-3
"GSG","2024-01-31",20.94,12614200,4.39
"GSG","2024-02-29",21.12,7422200,0.86
"GSG","2024-03-28",22.06,10026200,4.45
"GSG","2024-04-30",22.27,14411200,0.95
"GSG","2024-05-31",21.95,7519200,-1.44
"GSG","2024-06-28",22.15,12125000,0.91
"GSG","2024-07-31",21.51,11165300,-2.89
"GSG","2024-08-30",21.04,12369600,-2.19
"GSG","2024-09-30",21,6108700,-0.19
"GSG","2024-10-31",21.3,7697300,1.43
"GSG","2024-11-29",21.14,3687700,-0.75
"GSG","2024-12-30",21.66,4992800,2.46
